CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
180,Democratic Republic of the Congo,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,7.2,,,,793.0,735.0,469.0,688.5,368.1,386.6,639.4,569.4,566.9,329.1,268.7,170.7,48.9,8.6,4.0,0.0,0.0,0.0,0.0, , , 
208,Denmark,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,,,,,,,,,,,,,,,,,,,, , , 
262,Djibouti,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,22.1,,,,22.7,21.5,18.9,20.6,20.6,20.7,18.0,15.8,12.1,8.8,7.1,3.1,2.2,0.9,0.6,0.0,0.0,0.0,0.0, , , 
212,Dominica,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,1.5,1.5,1.0,1.7,1.7,2.1,1.1,2.1,1.6,3.0,1.4,1.0,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
214,Dominican Republic,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,274.2,329.8,433.3,634.0,558.7,426.8,311.4,752.1,401.9,485.8,329.8,266.5,310.4,204.3,156.2,24.4,4.5,28.3,0.8,0.5,0.0,0.0, , , 
218,Ecuador,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,603.6,690.9,403.5,261.5,78.4,314.7,269.2,320.4,271.7,153.0,230.5,207.0,229.6,256.3,147.4,132.5,63.0,28.3,8.2,10.4,0.0,0.0,0.0,0.0, , , 
818,Egypt,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,2144.0,1960.0,2015.0,1746.0,1870.0,1640.0,1732.0,1632.0,1540.0,1373.6,1267.0,1334.8,1294.0,1102.2,1047.6,821.2,593.6,241.6,187.8,202.7,172.5,0.0,0.0,0.0, , , 
222,El Salvador,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,423.4,644.7,398.2,255.7,329.7,312.1,277.8,194.6,109.5,99.1,116.9,101.6,97.5,75.6,119.2,64.4,34.7,0.0,0.0,0.0,0.0,0.0,0.0, , , 
226,Equatorial Guinea,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,20.0,20.2,19.9,20.4,22.3,30.1,32.1,32.2,31.4,21.4,23.2,23.8,17.5,13.6,10.0,8.1,4.6,4.6,2.3,0.0,0.0,0.0,0.0,0.0, , , 
232,Eritrea,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,1.7,,,,48.8,34.3,40.3,25.5,25.2,48.8,,,,,30.2,4.2,3.1,2.8,2.1,0.0,0.0,0.0,0.0, , , 
233,Estonia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,764.8,-442.2,45.2,69.8,56.3,15.7,-0.4,0.0,0.0,,,,,,,,,,, , , 
231,Ethiopia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,32.5,33.8,35.1,38.2,39.2,39.2,34.6,30.0,28.0,16.0,15.0,12.9,4.9,4.3,2.1,0.0,0.0,0.0,0.0, , , 
97,European Union (EU),649,N,Consumption of ozone-depleting CFCs in ODP metric tons,170331.4,150640.0,126092.4,107327.2,44703.4,310.0,6010.2,5636.3,4341.8,4746.4,2168.8,2136.4,-265.8,294.6,195.8,-1151.6,-2.5,-106.7,-552.0,-1062.9,-870.6,-1053.0,-450.3,-1042.9, , , 
234,Faeroe Islands,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
238,Falkland Islands (Malvinas),649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
242,Fiji,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,37.8,42.1,8.5,7.4,0.1,59.8,26.7,13.7,13.1,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
246,Finland,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,1859.0,1198.6,633.8,826.4,508.0,,,,,,,,,,,,,,,,,,,, , , 
250,France,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,,,,,,,,,,,,,,,,,,,, , , 
