CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
96,Brunei Darussalam,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
100,Bulgaria,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
854,Burkina Faso,710,Y,"Slum population as percentage of urban, percentage",78.8, , , , ,72.4, , , , ,65.9, , , , ,59.5, ,59.5, ,, , , , , , , 
108,Burundi,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,64.3, ,64.3, ,, , , , , , , 
116,Cambodia,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,78.9, ,, ,, , , , , , , 
120,Cameroon,710,Y,"Slum population as percentage of urban, percentage",50.8, , , , ,49.6, , , , ,48.4, , , , ,47.4, ,46.6, ,46.1, , , , , , , 
124,Canada,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
132,Cape Verde,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
136,Cayman Islands,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
140,Central African Republic,710,Y,"Slum population as percentage of urban, percentage",87.5, , , , ,89.7, , , , ,91.9, , , , ,94.1, ,95.0, ,95.9, , , , , , , 
148,Chad,710,Y,"Slum population as percentage of urban, percentage",98.9, , , , ,96.4, , , , ,93.9, , , , ,91.3, ,90.3, ,89.3, , , , , , , 
830,Channel Islands,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
152,Chile,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,9.0, ,, ,, , , , , , , 
156,China,710,Y,"Slum population as percentage of urban, percentage",43.6, , , , ,40.5, , , , ,37.3, , , , ,32.9, ,31.0, ,29.1, , , , , , , 
344,"China, Hong Kong Special Administrative Region",710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
446,"China, Macao Special Administrative Region",710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
170,Colombia,710,Y,"Slum population as percentage of urban, percentage",31.2, , , , ,26.8, , , , ,22.3, , , , ,17.9, ,16.1, ,14.3, , , , , , , 
174,Comoros,710,Y,"Slum population as percentage of urban, percentage",65.4, , , , ,65.4, , , , ,65.4, , , , ,68.9, ,68.9, ,, , , , , , , 
178,Congo,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,53.4, ,51.7, ,49.9, , , , , , , 
184,Cook Islands,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
188,Costa Rica,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,10.9, ,, ,, , , , , , , 
384,Cote d'Ivoire,710,Y,"Slum population as percentage of urban, percentage",53.4, , , , ,54.3, , , , ,55.3, , , , ,56.2, ,56.6, ,57.0, , , , , , , 
191,Croatia,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
192,Cuba,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
196,Cyprus,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
203,Czech Republic,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
200,Czechoslovakia [former],710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
