CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
200,Czechoslovakia [former],753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
180,Democratic Republic of the Congo,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,17.7,,,,1209.7,960.4,578.0,907.4,410.6,454.6,1151.2,1081.3,607.6,364.3,312.6,228.2,90.5,50.5,59.8,76.6,56.9,47.9,35.9, , , 
208,Denmark,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,,,,,,,,,,,, , , , , , , , , , , , , , , 
262,Djibouti,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,22.1,,,,22.7,21.5,18.9,20.6,20.6,21.2,18.5,16.3,12.6,9.3,7.7,3.7,2.8,1.5,1.2,0.7,0.7,0.6,0.6, , , 
212,Dominica,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,3.3,,1.5,1.5,1.1,1.8,1.8,2.3,1.2,2.3,1.7,3.1,1.5,1.1,1.9,0.6,0.0,0.0,0.4,0.4,0.2,0.0,0.1, , , 
214,Dominican Republic,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,33.9,287.9,426.7,498.8,837.9,677.2,614.4,509.6,877.7,623.9,650.8,406.9,322.8,372.8,262.1,232.8,74.4,53.9,76.8,54.7,50.6,40.9,34.8, , , 
218,Ecuador,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,648.6,860.8,477.1,480.6,298.1,384.5,351.7,454.6,368.8,277.9,354.9,579.1,273.4,259.9,167.4,286.3,114.0,150.7,79.8,87.2,62.0,32.3,33.8,22.0, , , 
818,Egypt,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,4476.0,3983.0,6276.0,6600.0,2737.0,2880.5,2944.9,2785.0,2816.0,2749.8,2746.3,2704.3,1944.1,1662.7,1644.2,1348.6,1091.6,860.8,726.2,789.5,705.6,488.8,630.2,352.2, , , 
222,El Salvador,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,425.7,654.1,481.7,261.2,336.4,318.5,284.7,198.7,114.7,107.7,121.2,108.1,105.2,81.1,138.7,84.9,51.4,25.4,11.9,11.5,9.6,9.3,8.1, , , 
226,Equatorial Guinea,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,43.1,43.3,46.0,47.5,51.7,58.8,60.8,65.0,62.3,37.9,49.4,44.1,27.9,19.9,14.4,14.3,10.1,10.6,8.1,6.2,6.4,5.7,5.4,5.1, , , 
232,Eritrea,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,3.3,,,,54.0,43.2,42.7,26.8,26.5,51.4,,,,,31.3,5.1,4.0,3.8,3.2,1.1,1.0,1.0,1.0, , , 
233,Estonia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,,,765.8,-441.8,56.0,56.9,57.8,17.0,1.3,1.8,3.8, , , , , , , , , , , , , 
231,Ethiopia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,12.6,,,,48.6,47.7,50.7,61.8,56.2,58.0,54.7,86.6,39.7,23.7,22.0,13.1,5.0,4.3,2.1,11.0,11.3,10.8,5.5, , , 
97,European Union (EU),753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,238805.9,218833.9,169563.1,139468.3,56885.2,19575.4,24697.9,20816.9,19843.4,19425.1,10899.0,819.8,-6754.6,6024.2,-5677.7,-2763.9,-667.7,-5460.6,-10274.9,-1516.4,-1759.6,-2471.2,899.7,-3249.4, , , 
234,Faeroe Islands,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
238,Falkland Islands (Malvinas),753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
242,Fiji,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,41.8,55.2,9.8,8.0,0.9,62.7,29.8,13.7,15.5,11.4,2.5,2.5,5.3,1.6,5.5,6.0,5.4,4.5,4.8,7.6,9.2,14.5,14.5,7.7, , , 
246,Finland,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,2615.0,1718.3,927.5,1144.0,593.4,,,,,,,, , , , , , , , , , , , , , , 
250,France,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,,,,,,,,,,,, , , , , , , , , , , , , , , 
254,French Guiana,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
258,French Polynesia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
266,Gabon,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,10.4,,14.2,13.6,9.3,13.5,14.0,14.0,9.7,16.2,8.4,6.9,6.9,6.2,3.6,4.5,4.1,5.2,29.7,30.6,46.0,30.3,28.6, , , 
270,Gambia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,15.0,11.6,12.4,21.4,23.1,24.7,21.0,28.4,11.1,7.0,6.2,5.9,4.9,5.3,0.2,0.9,1.1,0.7,0.5,1.6,1.5,1.0,1.9,0.9, , , 
268,Georgia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,94.8,,,53.2,77.8,79.6,86.7,69.9,62.9,65.9,68.1,64.3,61.1,55.8,34.4,14.6,6.3,5.9,4.6,5.9,4.3,2.7,1.4, , , 
276,Germany,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,,,,,,,,,,,, , , , , , , , , , , , , , , 
288,Ghana,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,114.7,107.2,78.2,28.2,46.7,48.6,15.7,51.5,55.1,54.7,56.7,41.1,24.0,37.7,47.5,25.2,34.2,23.6,21.6,80.7,37.2,30.7,27.2,25.4, , , 
292,Gibraltar,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
300,Greece,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,,,,,,,,,,,, , , , , , , , , , , , , , , 
304,Greenland,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
308,Grenada,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,4.1,4.1,6.9,5.1,6.9,4.2,3.1,3.1,1.3,2.3,2.3,2.4,0.7,0.3,0.2,0.5,0.8,0.8,0.2,0.3,0.3, , , 
312,Guadeloupe,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
316,Guam,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
320,Guatemala,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,360.9,370.1,370.1,370.1,344.2,489.2,505.6,749.5,789.8,720.2,891.1,1055.4,952.5,677.0,556.1,586.9,355.8,302.9,184.4,249.3,256.2,221.0,148.5,251.3, , , 
324,Guinea,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,40.6,42.1,46.0,44.5,44.5,48.5,52.4,52.2,42.0,40.0,49.9,48.4,45.0,42.1,32.4,26.1,22.9,22.1,22.0,21.8,23.4,24.5,22.2,7.1, , , 
